rank,institution,count,percentage,country,region
206,Zhongguancun Academy,10,0.18670649738610903,China,China (Mainland)
207,TTIC,10,0.18670649738610903,Other,Other / Unknown
208,JKU Linz,10,0.18670649738610903,Austria,Other Europe
209,University at Buffalo,10,0.18670649738610903,USA,USA
210,University of Rochester,10,0.18670649738610903,USA,USA
211,University of Copenhagen,10,0.18670649738610903,Denmark,Other Europe
212,University of Minnesota,10,0.18670649738610903,USA,USA
213,University of Zurich,9,0.16803584764749813,Switzerland,Switzerland
214,Kyoto University,9,0.16803584764749813,Japan,Japan
215,Caltech,9,0.16803584764749813,USA,USA
216,Technical University of Denmark,9,0.16803584764749813,Denmark,Other Europe
217,Italian Institute of Technology,9,0.16803584764749813,Italy,Other Europe
218,Snap,9,0.16803584764749813,USA,USA
219,Ben Gurion University,9,0.16803584764749813,Israel,Israel
220,TU Eindhoven,9,0.16803584764749813,Netherlands,Other Europe
221,Li Auto,9,0.16803584764749813,China,China (Mainland)
222,NUDT,8,0.14936519790888722,China,China (Mainland)
223,Lomonosov MSU,8,0.14936519790888722,Russia,Other Europe
224,GIST,8,0.14936519790888722,South Korea,South Korea
225,Fraunhofer,8,0.14936519790888722,Germany,Germany
226,UNIST,8,0.14936519790888722,South Korea,South Korea
227,THU,8,0.14936519790888722,Other,Other / Unknown
228,MoE Key Laboratory of Brain-inspired Intelligent Perception and Cognition,8,0.14936519790888722,Other,Other / Unknown
229,UT Dallas,8,0.14936519790888722,USA,USA
230,UC Riverside,8,0.14936519790888722,USA,USA
231,KU Leuven,8,0.14936519790888722,Belgium,Other Europe
232,University of Bristol,8,0.14936519790888722,UK,UK
233,King’s College London,8,0.14936519790888722,Other,Other / Unknown
234,Queen Mary University of London,8,0.14936519790888722,UK,UK
235,Sakana AI,8,0.14936519790888722,Japan,Japan
236,Moscow Indep. Research Institute of AI,8,0.14936519790888722,Russia,Other Europe
237,"Eastern Institute of Tech, Ningbo",8,0.14936519790888722,China,China (Mainland)
238,Tel Aviv University,8,0.14936519790888722,Israel,Israel
239,Lingnan University,8,0.14936519790888722,Hong Kong,Hong Kong
240,Intel,8,0.14936519790888722,USA,USA
241,Tohoku University,7,0.13069454817027631,Japan,Japan
242,Scale AI,7,0.13069454817027631,USA,USA
243,LG AI Research,7,0.13069454817027631,South Korea,South Korea
244,USTB,7,0.13069454817027631,China,China (Mainland)
245,KIT,7,0.13069454817027631,Germany,Germany
246,Soochow University,7,0.13069454817027631,China,China (Mainland)
247,NYCU,7,0.13069454817027631,Taiwan,Taiwan
248,OPPO,7,0.13069454817027631,China,China (Mainland)
249,The Key Laboratory of Cognition and Decision Intelligence for Complex Systems,7,0.13069454817027631,Other,Other / Unknown
250,CASIA,7,0.13069454817027631,Other,Other / Unknown
251,TU Berlin,7,0.13069454817027631,Germany,Germany
252,CAS Institute of Software,7,0.13069454817027631,China,China (Mainland)
253,University of Helsinki,7,0.13069454817027631,Finland,Other Europe
254,Griffith University,7,0.13069454817027631,Australia,Australia & NZ
255,Chung-Ang University,7,0.13069454817027631,South Korea,South Korea
256,University of Houston,7,0.13069454817027631,USA,USA
257,RPI,7,0.13069454817027631,USA,USA
258,Western University,7,0.13069454817027631,Canada,Canada
259,RIT,7,0.13069454817027631,USA,USA
260,Washington University in St. Louis,7,0.13069454817027631,Other,Other / Unknown
261,TU Wien,7,0.13069454817027631,Austria,Other Europe
262,Sea AI Lab,7,0.13069454817027631,Singapore,Singapore
263,Yandex,7,0.13069454817027631,Russia,Other Europe
264,NTT,6,0.11202389843166542,Japan,Japan
265,University of Arizona,6,0.11202389843166542,USA,USA
266,PKU,6,0.11202389843166542,Other,Other / Unknown
267,Emory University,6,0.11202389843166542,USA,USA
268,Indian Institute of Technology,6,0.11202389843166542,India,India
269,Anhui University,6,0.11202389843166542,China,China (Mainland)
270,Heidelberg University,6,0.11202389843166542,Germany,Germany
271,NJIT,6,0.11202389843166542,USA,USA
272,BUPT,6,0.11202389843166542,China,China (Mainland)
273,Deakin University,6,0.11202389843166542,Australia,Australia & NZ
274,University of Basel,6,0.11202389843166542,Switzerland,Switzerland
275,Guangdong U. of Technology,6,0.11202389843166542,China,China (Mainland)
276,University of Auckland,6,0.11202389843166542,New Zealand,Australia & NZ
277,NAVER,6,0.11202389843166542,South Korea,South Korea
278,University of Bath,6,0.11202389843166542,UK,UK
279,Case Western Reserve University,6,0.11202389843166542,USA,USA
280,Vivo,6,0.11202389843166542,China,China (Mainland)
281,University of Utah,6,0.11202389843166542,USA,USA
282,Weizmann Institute of Science,6,0.11202389843166542,Israel,Israel
283,University of Oslo,6,0.11202389843166542,Norway,Other Europe
284,TikTok,6,0.11202389843166542,China,China (Mainland)
285,CAS Shenzhen Institute of Advanced Tech,6,0.11202389843166542,China,China (Mainland)
286,AMD,6,0.11202389843166542,USA,USA
287,Oracle,6,0.11202389843166542,USA,USA
288,DFKI,6,0.11202389843166542,Germany,Germany
289,Hunan University,6,0.11202389843166542,China,China (Mainland)
290,KRAFTON,6,0.11202389843166542,South Korea,South Korea
291,Kyung Hee University,6,0.11202389843166542,South Korea,South Korea
292,Hebrew University of Jerusalem,6,0.11202389843166542,Israel,Israel
293,ETRI,6,0.11202389843166542,South Korea,South Korea
294,Moonshot AI,6,0.11202389843166542,China,China (Mainland)
295,Hefei U. of Technology,6,0.11202389843166542,China,China (Mainland)
296,M-A-P,6,0.11202389843166542,Other,Other / Unknown
297,Télécom Paris,5,0.09335324869305452,France,France
298,University of Connecticut,5,0.09335324869305452,USA,USA
299,Toyota Research Institute,5,0.09335324869305452,USA,USA
300,MPI for Software Systems,5,0.09335324869305452,Germany,Germany
301,Genentech,5,0.09335324869305452,USA,USA
302,Bocconi University,5,0.09335324869305452,Italy,Other Europe
303,"Applied AI Institute, Moscow, Russia",5,0.09335324869305452,Other,Other / Unknown
304,Hangzhou Dianzi University,5,0.09335324869305452,China,China (Mainland)
305,University of Birmingham,5,0.09335324869305452,UK,UK
306,Graduate School of Artificial Intelligence,5,0.09335324869305452,Other,Other / Unknown
307,University of Bonn,5,0.09335324869305452,Germany,Germany
308,Stevens Institute of Technology,5,0.09335324869305452,USA,USA
309,Politecnico di Milano,5,0.09335324869305452,Italy,Other Europe
310,UK AI Security Institute,5,0.09335324869305452,Other,Other / Unknown
311,Lehigh University,5,0.09335324869305452,USA,USA
312,Department of Computer Science and Engineering,5,0.09335324869305452,Other,Other / Unknown
313,Cerebras,5,0.09335324869305452,USA,USA
314,SJTU,5,0.09335324869305452,Other,Other / Unknown
315,University of Pittsburgh,5,0.09335324869305452,USA,USA
316,Sharif University of Technology,5,0.09335324869305452,Iran,Middle East
317,The University of Osaka,5,0.09335324869305452,Other,Other / Unknown
318,Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ),5,0.09335324869305452,Other,Other / Unknown
319,Indian Institute of Science,5,0.09335324869305452,India,India
320,Iowa State University,5,0.09335324869305452,USA,USA
321,Chongqing University,5,0.09335324869305452,China,China (Mainland)
322,University of Florida,5,0.09335324869305452,USA,USA
323,"Beijing University of Posts and Telecommunications, China",5,0.09335324869305452,Other,Other / Unknown
324,EleutherAI,4,0.07468259895444361,Other,Other / Unknown
325,Aithyra,4,0.07468259895444361,Austria,Other Europe
326,University of Sheffield,4,0.07468259895444361,UK,UK
327,Hugging Face,4,0.07468259895444361,USA,USA
328,University of Warwick,4,0.07468259895444361,UK,UK
329,Capital One,4,0.07468259895444361,Other,Other / Unknown
330,Communication U. of China,4,0.07468259895444361,China,China (Mainland)
331,RMIT University,4,0.07468259895444361,Australia,Australia & NZ
332,UW-Madison,4,0.07468259895444361,Other,Other / Unknown
333,Beijing Innovation Center of Humanoid Robotics,4,0.07468259895444361,Other,Other / Unknown
334,Guangzhou University,4,0.07468259895444361,China,China (Mainland)
335,WPI,4,0.07468259895444361,USA,USA
336,Czech Technical University Prague,4,0.07468259895444361,Czechia,Other Europe
337,University of Southampton,4,0.07468259895444361,UK,UK
338,State Key Laboratory of Multimedia Information Processing,4,0.07468259895444361,Other,Other / Unknown
339,University of Exeter,4,0.07468259895444361,UK,UK
340,Ant International,4,0.07468259895444361,Other,Other / Unknown
341,Together AI,4,0.07468259895444361,Other,Other / Unknown
342,Idiap Research Institute,4,0.07468259895444361,Other,Other / Unknown
343,Tel-Aviv University,4,0.07468259895444361,Other,Other / Unknown
344,State Key Laboratory for Multimedia Information Processing,4,0.07468259895444361,Other,Other / Unknown
345,CityUHK,4,0.07468259895444361,Other,Other / Unknown
346,Applied AI Institute,4,0.07468259895444361,Other,Other / Unknown
347,Institute of Numerical Mathematics,4,0.07468259895444361,Russia,Other Europe
348,IIT Bombay,4,0.07468259895444361,India,India
349,University of Modena and Reggio Emilia,4,0.07468259895444361,Italy,Other Europe
350,Cohere,4,0.07468259895444361,Canada,Canada
351,Lancaster University,4,0.07468259895444361,UK,UK
352,ML Alignment & Theory Scholars,4,0.07468259895444361,Other,Other / Unknown
353,State Key Laboratory of Human-Machine Hybrid Augmented Intelligence,4,0.07468259895444361,Other,Other / Unknown
354,Hasso Plattner Institute,4,0.07468259895444361,Germany,Germany
355,Key Laboratory of Multimedia Trusted Perception and Efficient Computing,4,0.07468259895444361,Other,Other / Unknown
356,Southwestern University of Finance and Economics,4,0.07468259895444361,Other,Other / Unknown
357,South China Normal University,4,0.07468259895444361,Other,Other / Unknown
358,Thoughtworks,3,0.05601194921583271,Other,Other / Unknown
359,University of International Business and Economics,3,0.05601194921583271,Other,Other / Unknown
360,Physical Intelligence,3,0.05601194921583271,USA,USA
361,Osaka University,3,0.05601194921583271,Japan,Japan
362,Technical University of Darmstadt,3,0.05601194921583271,Other,Other / Unknown
363,"Kaiserslautern, Germany",3,0.05601194921583271,Other,Other / Unknown
364,U. of Western Australia,3,0.05601194921583271,Australia,Australia & NZ
365,Shenzhen U. of Advanced Tech,3,0.05601194921583271,China,China (Mainland)
366,AntGroup,3,0.05601194921583271,Other,Other / Unknown
367,Department of Mathematics,3,0.05601194921583271,Other,Other / Unknown
368,TU Darmstadt,3,0.05601194921583271,Germany,Germany
369,Jinan University,3,0.05601194921583271,China,China (Mainland)
370,University of Stuttgart,3,0.05601194921583271,Other,Other / Unknown
371,"Institute of Artificial Intelligence, Hefei Comprehensive National Science Center",3,0.05601194921583271,Other,Other / Unknown
372,Pusan National University,3,0.05601194921583271,Other,Other / Unknown
373,NA VER AI Lab,3,0.05601194921583271,Other,Other / Unknown
374,U. of Technology Nuremberg,3,0.05601194921583271,Germany,Germany
375,Zhengzhou University,3,0.05601194921583271,China,China (Mainland)
376,LIGHTSPEED,3,0.05601194921583271,Other,Other / Unknown
377,Florida State University,3,0.05601194921583271,Other,Other / Unknown
378,Aalborg University,3,0.05601194921583271,Other,Other / Unknown
379,Clemson University,3,0.05601194921583271,Other,Other / Unknown
380,Lanzhou University,3,0.05601194921583271,Other,Other / Unknown
381,JD.com,3,0.05601194921583271,China,China (Mainland)
382,Lawrence Livermore National Lab,3,0.05601194921583271,USA,USA
383,IIT Delhi,3,0.05601194921583271,India,India
384,TeleAI,3,0.05601194921583271,Other,Other / Unknown
385,Department of Electrical and Computer Engineering,3,0.05601194921583271,Other,Other / Unknown
386,"King’s College London, The Alan Turing Institute",3,0.05601194921583271,Other,Other / Unknown
387,China Mobile Research Institute,3,0.05601194921583271,Other,Other / Unknown
388,University of Turin,3,0.05601194921583271,Other,Other / Unknown
389,Brookhaven National Lab,3,0.05601194921583271,USA,USA
390,"Geely Automobile Research Institute (Ningbo) Co., Ltd",3,0.05601194921583271,Other,Other / Unknown
391,University of Georgia,3,0.05601194921583271,USA,USA
392,Department of Electrical Engineering,3,0.05601194921583271,Other,Other / Unknown
393,School of Computer Science,3,0.05601194921583271,Other,Other / Unknown
